,id,time,mood_next_day,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,next_day,next_day_weekday,weekday,monday,tuesday,wednesday,thursday,friday,saturday,sunday,month,c_s,fun,idk,serious,talk,all,good,bad
449,AS14.12,2014-03-08,,,,,,,4.0,1.0,,,,,,,,,,,,,2014-03-09,0,0,0,0,0,0,0,1,0,3,5.0,,,,,,,
450,AS14.12,2014-03-14,5.5,,,,,,5.0,2.0,,,,,,,,,,,,,2014-03-15,0,1,0,0,0,0,1,0,0,3,7.0,,,,,,,
451,AS14.12,2014-03-15,,5.5,0.0,-0.5,,,4.0,3.0,,,,,,,,,,,,,2014-03-16,0,0,0,0,0,0,0,1,0,3,7.0,,,,,,,
452,AS14.12,2014-03-25,,,,,,,2.0,1.0,,,,,,,,,,,,,2014-03-26,1,1,0,1,0,0,0,0,0,3,3.0,,,,,,,
453,AS14.12,2014-03-27,6.75,7.0,-0.5,1.0,0.14829053656064528,6065.7110004425085,2.0,,735.716,930.6489999999999,207.387,,,,71.905,4393.594,,,5.052,,2014-03-28,1,1,0,0,0,1,0,0,0,3,2.0,207.387,76.957,,5324.243,6344.302999999999,930.6489999999999,4393.594
454,AS14.12,2014-03-28,6.75,6.75,0.0,0.75,0.11218869731800768,10478.017000198368,9.0,,4855.087,2540.5709999999995,3861.542,,,,77.908,3569.3729999999996,,,14.169,,2014-03-29,0,1,0,0,0,0,1,0,0,3,9.0,3861.542,92.077,,6109.9439999999995,14918.649999999998,2540.5709999999995,3569.3729999999996
455,AS14.12,2014-03-29,5.8,6.75,1.0,1.0,0.12607506942792832,9956.59399938583,5.0,,6546.764,1318.068,1001.059,,,,51.707,1167.004,101.11800000000001,60.299,8.120000000000001,,2014-03-30,0,0,0,0,0,0,0,1,0,3,5.0,1001.059,120.126,,2485.072,10254.139000000001,1419.186,1167.004
456,AS14.12,2014-03-30,6.4,5.8,-0.2,0.25,0.050002669288337596,3085.1560006141663,1.0,,805.483,790.7080000000001,473.693,,,,53.669000000000004,914.519,,,15.116999999999997,,2014-03-31,1,0,0,0,0,0,0,0,1,3,1.0,473.693,68.786,,1705.227,3053.1890000000003,790.7080000000001,914.519
457,AS14.12,2014-03-31,6.4,6.4,0.4,0.4,0.07254649006645172,3845.6270000934614,1.0,,954.0349999999999,633.707,411.651,11.04,11.03,17.189,47.557,939.671,772.3990000000002,,,,2014-04-01,1,1,1,0,0,0,0,0,0,3,1.0,422.681,47.557,28.229,1573.3780000000002,3798.2790000000005,1417.1360000000002,967.9000000000001
458,AS14.12,2014-04-01,6.0,6.4,0.4,0.75,0.14079215484201238,8892.608999252321,2.0,,1334.388,2928.829,751.2920000000001,55.378,3.766,,44.646,3253.437,68.07900000000001,,,,2014-04-02,1,1,0,1,0,0,0,0,0,4,2.0,755.0580000000001,44.646,55.378,6182.266,8439.815,3000.6740000000004,3308.815
